age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,target,age_group,balance_group,day_group,duration_group,campaign_group,quarter
44,admin,married,secondary,no,-372,yes,no,unknown,5,172,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
39,management,single,tertiary,no,255,yes,no,unknown,5,296,1,0,"(34, 45]","(200, 500]","(0, 10]","(240, 360]","(0, 1]",q2
52,other,married,secondary,no,113,yes,yes,unknown,5,127,1,0,"(45, 59]","(100, 200]","(0, 10]","(120, 240]","(0, 1]",q2
46,management,single,secondary,no,-246,yes,no,unknown,5,255,2,0,"(45, 59]","(-10000, 0]","(0, 10]","(240, 360]","(1, 2]",q2
36,technician,single,secondary,no,265,yes,yes,unknown,5,348,1,0,"(34, 45]","(200, 500]","(0, 10]","(240, 360]","(0, 1]",q2
57,technician,married,secondary,no,839,no,yes,unknown,5,225,1,0,"(45, 59]","(500, 1000]","(0, 10]","(120, 240]","(0, 1]",q2
49,management,married,tertiary,no,378,yes,no,unknown,5,230,1,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
60,admin,married,secondary,no,39,yes,yes,unknown,5,208,1,0,"(59, 100]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,226,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
51,management,married,tertiary,no,10635,yes,no,unknown,5,336,1,0,"(45, 59]","(10000, 200000]","(0, 10]","(240, 360]","(0, 1]",q2
57,technician,divorced,secondary,no,63,yes,no,unknown,5,242,1,0,"(45, 59]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,365,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(360, 600]","(0, 1]",q2
53,technician,married,secondary,no,-3,no,no,unknown,5,1666,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(1200, 5000]","(0, 1]",q2
36,admin,divorced,secondary,no,506,yes,no,unknown,5,577,1,0,"(34, 45]","(500, 1000]","(0, 10]","(360, 600]","(0, 1]",q2
37,admin,single,secondary,no,0,yes,no,unknown,5,137,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
44,services,divorced,secondary,no,2586,yes,no,unknown,5,160,1,0,"(34, 45]","(1000, 3000]","(0, 10]","(120, 240]","(0, 1]",q2
50,management,married,secondary,no,49,yes,no,unknown,5,180,2,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(1, 2]",q2
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,22,1,0,"(59, 100]","(100, 200]","(0, 10]","(0, 60]","(0, 1]",q2
54,none,married,secondary,no,529,yes,no,unknown,5,1492,1,0,"(45, 59]","(500, 1000]","(0, 10]","(1200, 5000]","(0, 1]",q2
58,none,married,unknown,no,96,yes,no,unknown,5,616,1,0,"(45, 59]","(0, 100]","(0, 10]","(600, 900]","(0, 1]",q2
36,admin,single,primary,no,-171,yes,no,unknown,5,242,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(240, 360]","(0, 1]",q2
58,other,married,tertiary,no,-364,yes,no,unknown,5,355,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(240, 360]","(0, 1]",q2
44,technician,married,secondary,no,0,yes,no,unknown,5,225,2,0,"(34, 45]","(-10000, 0]","(0, 10]","(120, 240]","(1, 2]",q2
55,technician,divorced,secondary,no,0,no,no,unknown,5,160,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
29,management,single,tertiary,no,0,yes,no,unknown,5,363,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(360, 600]","(0, 1]",q2
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,266,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(240, 360]","(0, 1]",q2
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,253,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(240, 360]","(0, 1]",q2
32,management,married,tertiary,no,0,yes,no,unknown,5,179,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
42,admin,single,secondary,no,-76,yes,no,unknown,5,787,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(600, 900]","(0, 1]",q2
24,technician,single,secondary,no,-103,yes,yes,unknown,5,145,1,0,"(0, 24]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
38,other,single,tertiary,no,243,no,yes,unknown,5,174,1,0,"(34, 45]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
38,management,single,tertiary,no,424,yes,no,unknown,5,104,1,0,"(34, 45]","(200, 500]","(0, 10]","(60, 120]","(0, 1]",q2
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,13,1,0,"(45, 59]","(200, 500]","(0, 10]","(0, 60]","(0, 1]",q2
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,185,1,0,"(34, 45]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
46,services,married,primary,no,179,yes,no,unknown,5,1778,1,0,"(45, 59]","(100, 200]","(0, 10]","(1200, 5000]","(0, 1]",q2
32,admin,married,tertiary,no,0,yes,no,unknown,5,138,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
53,technician,divorced,secondary,no,989,yes,no,unknown,5,812,1,0,"(45, 59]","(500, 1000]","(0, 10]","(600, 900]","(0, 1]",q2
57,blue-collar,married,primary,no,249,yes,no,unknown,5,164,1,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
33,services,married,secondary,no,790,yes,no,unknown,5,391,1,0,"(24, 34]","(500, 1000]","(0, 10]","(360, 600]","(0, 1]",q2
49,blue-collar,married,unknown,no,154,yes,no,unknown,5,357,1,0,"(45, 59]","(100, 200]","(0, 10]","(240, 360]","(0, 1]",q2
51,management,married,tertiary,no,6530,yes,no,unknown,5,91,1,0,"(45, 59]","(5000, 10000]","(0, 10]","(60, 120]","(0, 1]",q2
60,none,married,tertiary,no,100,no,no,unknown,5,528,1,0,"(59, 100]","(0, 100]","(0, 10]","(360, 600]","(0, 1]",q2
59,management,divorced,tertiary,no,59,yes,no,unknown,5,273,1,0,"(45, 59]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
55,technician,married,secondary,no,1205,yes,no,unknown,5,158,2,0,"(45, 59]","(1000, 3000]","(0, 10]","(120, 240]","(1, 2]",q2
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,177,1,0,"(34, 45]","(10000, 200000]","(0, 10]","(120, 240]","(0, 1]",q2
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,258,1,0,"(45, 59]","(5000, 10000]","(0, 10]","(240, 360]","(0, 1]",q2
31,services,married,secondary,no,25,yes,yes,unknown,5,172,1,0,"(24, 34]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
54,management,married,secondary,no,282,yes,yes,unknown,5,154,1,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
55,blue-collar,married,primary,no,23,yes,no,unknown,5,291,1,0,"(45, 59]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
43,technician,married,secondary,no,1937,yes,no,unknown,5,181,1,0,"(34, 45]","(1000, 3000]","(0, 10]","(120, 240]","(0, 1]",q2
53,technician,married,secondary,no,384,yes,no,unknown,5,176,1,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
44,blue-collar,married,secondary,no,582,no,yes,unknown,5,211,1,0,"(34, 45]","(500, 1000]","(0, 10]","(120, 240]","(0, 1]",q2
55,services,divorced,secondary,no,91,no,no,unknown,5,349,1,0,"(45, 59]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
49,services,divorced,secondary,no,0,yes,yes,unknown,5,272,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(240, 360]","(0, 1]",q2
55,services,divorced,secondary,yes,1,yes,no,unknown,5,208,1,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
45,admin,single,secondary,no,206,yes,no,unknown,5,193,1,0,"(34, 45]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
47,services,divorced,secondary,no,164,no,no,unknown,5,212,1,0,"(45, 59]","(100, 200]","(0, 10]","(120, 240]","(0, 1]",q2
42,technician,single,secondary,no,690,yes,no,unknown,5,20,1,0,"(34, 45]","(500, 1000]","(0, 10]","(0, 60]","(0, 1]",q2
59,admin,married,secondary,no,2343,yes,no,unknown,5,1042,1,1,"(45, 59]","(1000, 3000]","(0, 10]","(900, 1200]","(0, 1]",q2
46,other,married,tertiary,no,137,yes,yes,unknown,5,246,1,0,"(45, 59]","(100, 200]","(0, 10]","(240, 360]","(0, 1]",q2
51,blue-collar,married,primary,no,173,yes,no,unknown,5,529,2,0,"(45, 59]","(100, 200]","(0, 10]","(360, 600]","(1, 2]",q2
56,admin,married,secondary,no,45,no,no,unknown,5,1467,1,1,"(45, 59]","(0, 100]","(0, 10]","(1200, 5000]","(0, 1]",q2
41,technician,married,secondary,no,1270,yes,no,unknown,5,1389,1,1,"(34, 45]","(1000, 3000]","(0, 10]","(1200, 5000]","(0, 1]",q2
46,management,divorced,secondary,no,16,yes,yes,unknown,5,188,2,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(1, 2]",q2
57,none,married,secondary,no,486,yes,no,unknown,5,180,2,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(1, 2]",q2
42,management,single,secondary,no,50,no,no,unknown,5,48,1,0,"(34, 45]","(0, 100]","(0, 10]","(0, 60]","(0, 1]",q2
30,technician,married,secondary,no,152,yes,yes,unknown,5,213,2,0,"(24, 34]","(100, 200]","(0, 10]","(120, 240]","(1, 2]",q2
60,admin,married,secondary,no,290,yes,no,unknown,5,583,1,0,"(59, 100]","(200, 500]","(0, 10]","(360, 600]","(0, 1]",q2
60,blue-collar,married,unknown,no,54,yes,no,unknown,5,221,1,0,"(59, 100]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
57,other,divorced,secondary,no,-37,no,no,unknown,5,173,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
36,management,married,tertiary,no,101,yes,yes,unknown,5,426,1,0,"(34, 45]","(100, 200]","(0, 10]","(360, 600]","(0, 1]",q2
55,blue-collar,married,secondary,no,383,no,no,unknown,5,287,1,0,"(45, 59]","(200, 500]","(0, 10]","(240, 360]","(0, 1]",q2
60,none,married,tertiary,no,81,yes,no,unknown,5,101,1,0,"(59, 100]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
39,technician,married,secondary,no,0,yes,no,unknown,5,203,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
46,management,married,tertiary,no,229,yes,no,unknown,5,197,1,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,257,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(240, 360]","(0, 1]",q2
53,blue-collar,married,primary,no,90,no,no,unknown,5,124,1,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
52,blue-collar,married,primary,no,128,yes,no,unknown,5,229,1,0,"(45, 59]","(100, 200]","(0, 10]","(120, 240]","(0, 1]",q2
59,blue-collar,married,primary,no,179,yes,no,unknown,5,55,3,0,"(45, 59]","(100, 200]","(0, 10]","(0, 60]","(2, 4]",q2
27,technician,single,tertiary,no,0,yes,no,unknown,5,400,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(360, 600]","(0, 1]",q2
44,blue-collar,married,secondary,no,54,yes,no,unknown,5,197,1,0,"(34, 45]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
47,technician,married,tertiary,no,151,yes,no,unknown,5,190,1,0,"(45, 59]","(100, 200]","(0, 10]","(120, 240]","(0, 1]",q2
34,admin,married,secondary,no,61,no,yes,unknown,5,21,1,0,"(24, 34]","(0, 100]","(0, 10]","(0, 60]","(0, 1]",q2
59,none,single,secondary,no,30,yes,no,unknown,5,514,1,0,"(45, 59]","(0, 100]","(0, 10]","(360, 600]","(0, 1]",q2
45,management,married,tertiary,no,523,yes,no,unknown,5,849,2,0,"(34, 45]","(500, 1000]","(0, 10]","(600, 900]","(1, 2]",q2
29,services,divorced,secondary,no,31,yes,no,unknown,5,194,1,0,"(24, 34]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
46,technician,divorced,secondary,no,79,no,no,unknown,5,144,1,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
56,other,married,primary,no,-34,yes,yes,unknown,5,212,2,0,"(45, 59]","(-10000, 0]","(0, 10]","(120, 240]","(1, 2]",q2
36,blue-collar,married,primary,no,448,yes,no,unknown,5,286,1,0,"(34, 45]","(200, 500]","(0, 10]","(240, 360]","(0, 1]",q2
59,none,divorced,primary,no,81,yes,no,unknown,5,107,1,0,"(45, 59]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
44,blue-collar,married,secondary,no,144,yes,no,unknown,5,247,2,0,"(34, 45]","(100, 200]","(0, 10]","(240, 360]","(1, 2]",q2
41,admin,married,secondary,no,351,yes,no,unknown,5,518,1,0,"(34, 45]","(200, 500]","(0, 10]","(360, 600]","(0, 1]",q2
33,management,single,tertiary,no,-67,yes,no,unknown,5,364,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(360, 600]","(0, 1]",q2
59,management,divorced,tertiary,no,262,no,no,unknown,5,178,1,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
57,technician,married,primary,no,0,no,no,unknown,5,98,1,0,"(45, 59]","(-10000, 0]","(0, 10]","(60, 120]","(0, 1]",q2
56,technician,divorced,unknown,no,56,yes,no,unknown,5,439,1,0,"(45, 59]","(0, 100]","(0, 10]","(360, 600]","(0, 1]",q2
51,blue-collar,married,secondary,no,26,yes,no,unknown,5,79,1,0,"(45, 59]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
34,admin,married,unknown,no,3,yes,no,unknown,5,120,3,0,"(24, 34]","(0, 100]","(0, 10]","(60, 120]","(2, 4]",q2
43,services,married,secondary,no,41,yes,yes,unknown,5,127,2,0,"(34, 45]","(0, 100]","(0, 10]","(120, 240]","(1, 2]",q2
52,technician,married,tertiary,no,7,no,yes,unknown,5,175,1,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
33,technician,single,secondary,no,105,yes,no,unknown,5,262,2,0,"(24, 34]","(100, 200]","(0, 10]","(240, 360]","(1, 2]",q2
29,admin,single,secondary,no,818,yes,yes,unknown,5,61,1,0,"(24, 34]","(500, 1000]","(0, 10]","(60, 120]","(0, 1]",q2
34,services,married,secondary,no,-16,yes,yes,unknown,5,78,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(60, 120]","(0, 1]",q2
31,blue-collar,married,secondary,no,0,yes,no,unknown,5,143,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
55,services,married,secondary,no,2476,yes,no,unknown,5,579,1,1,"(45, 59]","(1000, 3000]","(0, 10]","(360, 600]","(0, 1]",q2
55,management,married,unknown,no,1185,no,no,unknown,5,677,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(600, 900]","(0, 1]",q2
32,admin,single,secondary,no,217,yes,no,unknown,5,345,1,0,"(24, 34]","(200, 500]","(0, 10]","(240, 360]","(0, 1]",q2
38,technician,single,secondary,no,1685,yes,no,unknown,5,185,1,0,"(34, 45]","(1000, 3000]","(0, 10]","(120, 240]","(0, 1]",q2
55,admin,single,secondary,no,802,yes,yes,unknown,5,100,2,0,"(45, 59]","(500, 1000]","(0, 10]","(60, 120]","(1, 2]",q2
28,none,single,tertiary,no,0,yes,no,unknown,5,125,2,0,"(24, 34]","(-10000, 0]","(0, 10]","(120, 240]","(1, 2]",q2
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,193,1,0,"(0, 24]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
32,technician,single,secondary,no,0,yes,no,unknown,5,136,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
43,services,single,unknown,no,0,no,no,unknown,5,73,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(60, 120]","(0, 1]",q2
32,blue-collar,married,secondary,no,517,yes,no,unknown,5,528,1,0,"(24, 34]","(500, 1000]","(0, 10]","(360, 600]","(0, 1]",q2
46,blue-collar,married,secondary,no,265,yes,no,unknown,5,541,1,0,"(45, 59]","(200, 500]","(0, 10]","(360, 600]","(0, 1]",q2
53,other,divorced,primary,no,947,yes,no,unknown,5,163,1,0,"(45, 59]","(500, 1000]","(0, 10]","(120, 240]","(0, 1]",q2
34,other,single,secondary,no,3,yes,no,unknown,5,301,1,0,"(24, 34]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
57,none,married,tertiary,no,42,no,no,unknown,5,46,1,0,"(45, 59]","(0, 100]","(0, 10]","(0, 60]","(0, 1]",q2
37,blue-collar,married,secondary,no,37,yes,no,unknown,5,204,1,0,"(34, 45]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
59,blue-collar,married,secondary,no,57,yes,no,unknown,5,98,1,0,"(45, 59]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
33,services,married,secondary,no,22,yes,no,unknown,5,71,1,0,"(24, 34]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,157,2,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(1, 2]",q2
48,none,married,secondary,no,293,yes,no,unknown,5,243,1,0,"(45, 59]","(200, 500]","(0, 10]","(240, 360]","(0, 1]",q2
43,services,married,primary,no,3,yes,no,unknown,5,186,2,0,"(34, 45]","(0, 100]","(0, 10]","(120, 240]","(1, 2]",q2
54,blue-collar,married,primary,no,348,yes,no,unknown,5,579,2,0,"(45, 59]","(200, 500]","(0, 10]","(360, 600]","(1, 2]",q2
51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,163,2,0,"(45, 59]","(-10000, 0]","(0, 10]","(120, 240]","(1, 2]",q2
26,none,single,secondary,no,0,yes,no,unknown,5,610,2,0,"(24, 34]","(-10000, 0]","(0, 10]","(600, 900]","(1, 2]",q2
40,management,married,tertiary,no,-4,yes,no,unknown,5,2033,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(1200, 5000]","(0, 1]",q2
39,management,married,secondary,no,18,yes,no,unknown,5,85,1,0,"(34, 45]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
50,technician,married,primary,no,139,no,no,unknown,5,114,2,0,"(45, 59]","(100, 200]","(0, 10]","(60, 120]","(1, 2]",q2
41,services,married,secondary,no,0,yes,no,unknown,5,114,2,0,"(34, 45]","(-10000, 0]","(0, 10]","(60, 120]","(1, 2]",q2
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,57,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(0, 60]","(0, 1]",q2
60,none,divorced,secondary,no,216,yes,no,unknown,5,238,1,0,"(59, 100]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
52,blue-collar,married,secondary,no,782,yes,no,unknown,5,93,3,0,"(45, 59]","(500, 1000]","(0, 10]","(60, 120]","(2, 4]",q2
48,blue-collar,married,secondary,no,904,yes,no,unknown,5,128,2,0,"(45, 59]","(500, 1000]","(0, 10]","(120, 240]","(1, 2]",q2
48,services,married,unknown,no,1705,yes,no,unknown,5,107,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(60, 120]","(0, 1]",q2
39,technician,single,tertiary,no,47,yes,no,unknown,5,181,1,0,"(34, 45]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
47,services,single,secondary,no,176,yes,no,unknown,5,303,2,0,"(45, 59]","(100, 200]","(0, 10]","(240, 360]","(1, 2]",q2
40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,558,5,0,"(34, 45]","(1000, 3000]","(0, 10]","(360, 600]","(4, 6]",q2
45,technician,married,secondary,no,86,yes,no,unknown,5,270,1,0,"(34, 45]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
26,admin,single,secondary,no,82,yes,no,unknown,5,228,1,0,"(24, 34]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
52,management,married,tertiary,no,271,yes,no,unknown,5,99,1,0,"(45, 59]","(200, 500]","(0, 10]","(60, 120]","(0, 1]",q2
54,technician,married,secondary,no,1378,yes,no,unknown,5,240,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(120, 240]","(0, 1]",q2
54,admin,married,tertiary,no,184,no,no,unknown,5,673,2,1,"(45, 59]","(100, 200]","(0, 10]","(600, 900]","(1, 2]",q2
50,blue-collar,married,primary,no,0,no,no,unknown,5,233,3,0,"(45, 59]","(-10000, 0]","(0, 10]","(120, 240]","(2, 4]",q2
35,blue-collar,married,secondary,no,0,yes,no,unknown,5,1056,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(900, 1200]","(0, 1]",q2
44,services,married,secondary,no,1357,yes,yes,unknown,5,250,1,0,"(34, 45]","(1000, 3000]","(0, 10]","(240, 360]","(0, 1]",q2
53,other,married,unknown,no,19,yes,no,unknown,5,252,1,0,"(45, 59]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
35,none,single,primary,no,434,no,no,unknown,5,138,1,0,"(34, 45]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
60,admin,divorced,secondary,no,92,yes,no,unknown,5,130,1,0,"(59, 100]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
53,admin,divorced,secondary,no,1151,yes,no,unknown,5,412,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(360, 600]","(0, 1]",q2
48,none,married,secondary,no,41,yes,no,unknown,5,179,2,0,"(45, 59]","(0, 100]","(0, 10]","(120, 240]","(1, 2]",q2
34,technician,married,secondary,no,51,yes,no,unknown,5,19,2,0,"(24, 34]","(0, 100]","(0, 10]","(0, 60]","(1, 2]",q2
54,services,married,secondary,no,214,yes,no,unknown,5,458,2,0,"(45, 59]","(200, 500]","(0, 10]","(360, 600]","(1, 2]",q2
51,management,married,secondary,no,1161,yes,no,unknown,5,717,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(600, 900]","(0, 1]",q2
31,services,married,tertiary,no,37,yes,no,unknown,5,313,1,0,"(24, 34]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
35,technician,divorced,secondary,no,787,yes,no,unknown,5,683,2,0,"(34, 45]","(500, 1000]","(0, 10]","(600, 900]","(1, 2]",q2
35,services,married,secondary,no,59,yes,no,unknown,5,1077,1,0,"(34, 45]","(0, 100]","(0, 10]","(900, 1200]","(0, 1]",q2
38,technician,married,secondary,no,253,yes,no,unknown,5,416,1,0,"(34, 45]","(200, 500]","(0, 10]","(360, 600]","(0, 1]",q2
36,admin,married,tertiary,no,211,yes,no,unknown,5,146,2,0,"(34, 45]","(200, 500]","(0, 10]","(120, 240]","(1, 2]",q2
58,none,married,primary,no,235,yes,no,unknown,5,167,1,0,"(45, 59]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
40,services,divorced,unknown,no,4384,yes,no,unknown,5,315,1,0,"(34, 45]","(3000, 5000]","(0, 10]","(240, 360]","(0, 1]",q2
54,management,married,secondary,no,4080,no,no,unknown,5,140,1,0,"(45, 59]","(3000, 5000]","(0, 10]","(120, 240]","(0, 1]",q2
34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,346,1,0,"(24, 34]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
31,management,single,tertiary,no,0,yes,no,unknown,5,562,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(360, 600]","(0, 1]",q2
